iso3166_country,GID_0_gadm,NAME_0_gadm,GID_1_gadm,GID_1_edits,NAME_1_gadm,VARNAME_1_gadm,NL_NAME_1_gadm,TYPE_1_gadm,ENGTYPE_1_gadm,CC_1_gadm,HASC_1_gadm,region_polygoncluster,polygoncluster_name,project_ifnodata,project_ifconstructed,regionname_ISOenglish,regionname_alt,regionname_nativescript,regioncode,system,Notes1,Notes2,Notes3,mean.scl.regional_2012-13,mean.scl.regional_2022-23,mean.scl.national_2012-13,mean.scl.national_2022-23
AD,AND,Andorra,AND.1_1,AND.1_1,Andorra la Vella,NA,Andorra la Vella,Parr√≤quia,Parish,NA,AD.AN,nat,Andorra,NA,NA,Andorra la Vella,NA,Andorra la Vella,AD-07,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.2_1,AND.2_1,Canillo,NA,Canillo,Parr√≤quia,Parish,NA,AD.CA,nat,Andorra,NA,NA,Canillo,NA,Canillo,AD-02,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.3_1,AND.3_1,Encamp,NA,Encamp,Parr√≤quia,Parish,NA,AD.EN,nat,Andorra,NA,NA,Encamp,NA,Encamp,AD-03,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.4_1,AND.4_1,Escaldes-Engordany,NA,Escaldes-Engordany,Parr√≤quia,Parish,NA,AD.EE,nat,Andorra,NA,NA,Escaldes-Engordany,NA,Escaldes-Engordany,AD-08,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.5_1,AND.5_1,La Massana,NA,La Massana,Parr√≤quia,Parish,NA,AD.MA,nat,Andorra,NA,NA,La Massana,NA,La Massana,AD-04,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.6_1,AND.6_1,Ordino,NA,Ordino,Parr√≤quia,Parish,NA,AD.OR,nat,Andorra,NA,NA,Ordino,NA,Ordino,AD-05,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.7_1,AND.7_1,Sant Juli√† de L√≤ria,NA,Sant Juli√† de L√≤ria,Parr√≤quia,Parish,NA,AD.JL,nat,Andorra,NA,NA,Sant Julià de Lòria,NA,Sant Julià de Lòria,AD-06,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AE,ARE,United Arab Emirates,ARE.2_1,ARE.2_1,Ajman,NA,Ajman,Emirate,Emirate,NA,AE.AJ,NA,NA,NA,NA,‘Ajmān,NA,إمارة عجمانّ,AE-AJ,iso3166-2,NA,NA,NA,0.48941233610069845,0.560118489438247,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.1_1,ARE.1_1,Abu Dhabi,NA,Abu Dhabi,Emirate,Emirate,NA,AE.AZ,NA,NA,NA,NA,Abū Z̧aby,Abu Dhabi,أبو ظبي,AE-AZ,iso3166-2,NA,NA,NA,0.48650908940867216,0.6032046373590704,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.4_1,ARE.4_1,Fujairah,NA,Fujairah,Emirate,Emirate,NA,AE.FU,NA,NA,NA,NA,Al Fujayrah,Fujairah,الفجيرة,AE-FU,iso3166-2,NA,NA,NA,0.4865591100876337,0.5778020166790215,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.6_1,ARE.6_1,Sharjah,NA,Sharjah,Emirate,Emirate,NA,AE.SH,NA,NA,NA,NA,Ash Shāriqah,Sharjah,إمارة الشارقةّ,AE-SH,iso3166-2,NA,NA,NA,0.5147480197382963,0.6044178022008715,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.3_1,ARE.3_1,Dubai,NA,Dubai,Emirate,Emirate,NA,AE.DU,NA,NA,NA,NA,Dubayy,Dubai,دبي,AE-DU,iso3166-2,NA,NA,NA,0.49094841541019807,0.6099465089673627,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.5_1,ARE.5_1,Ras Al-Khaimah,NA,Ras Al-Khaimah,Emirate,Emirate,NA,AE.RK,NA,NA,NA,NA,Ra’s al Khaymah,Ras Al Khaimah,إمارة رأس الخيمة,AE-RK,iso3166-2,NA,NA,NA,0.4171432754820517,0.5072104156005997,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.7_1,ARE.7_1,Umm al-Qaywayn,NA,Umm al-Qaywayn,Emirate,Emirate,NA,AE.UQ,NA,NA,NA,NA,Umm al Qaywayn,Umm Al Quwain,أمّ القيوين,AE-UQ,iso3166-2,NA,NA,NA,0.4950318820447025,0.5368383512597097,0.4326890814473066,0.5660606704047402
AF,AFG,Afghanistan,AFG.1_1,AFG.1_1,Badakhshan,Badah≈°an,Badakhshan,Velayat,Province,NA,AF.BD,NA,NA,NA,NA,Badakhshān,Badakhshan,ولایت بدخشان,AF-BDS,iso3166-2,NA,NA,NA,0.5425901270837947,0.4707966621497116,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.2_1,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,Badghis,Velayat,Province,NA,AF.BG,NA,NA,NA,NA,Bādghīs,Badghis,بادغیس,AF-BDG,iso3166-2,NA,NA,NA,0.5330402426690232,0.5401042299102877,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.3_1,AFG.3_1,Baghlan,Baglan|Bughlan,Baghlan,Velayat,Province,NA,AF.BL,NA,NA,NA,NA,Baghlān,Baghlan,بغلان,AF-BGL,iso3166-2,NA,NA,NA,0.5548345278226238,0.4552370140598295,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.4_1,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,Balkh,Velayat,Province,NA,AF.BK,NA,NA,NA,NA,Balkh,Balkh,بلخ,AF-BAL,iso3166-2,NA,NA,NA,0.5631109733884392,0.5160370755607392,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.5_1,AFG.5_1,Bamyan,NA,Bamyan,Velayat,Province,NA,AF.BM,NA,NA,NA,NA,Bāmyān,Bamyan,بامیان,AF-BAM,iso3166-2,NA,NA,NA,0.5722478402119103,0.5232637361499172,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.6_1,AFG.6_1,Daykundi,NA,Daykundi,Velayat,Province,NA,AF.DK,NA,NA,NA,NA,Dāykundī,Daykundi,دایکندی,AF-DAY,iso3166-2,NA,NA,NA,0.7749422123523482,0.8023799648805394,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.7_1,AFG.7_1,Farah,NA,Farah,Velayat,Province,NA,AF.FH,NA,NA,NA,NA,Farāh,Farah,فراه,AF-FRA,iso3166-2,NA,NA,NA,0.48905438791012495,0.4441952530785542,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.8_1,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,Faryab,Velayat,Province,NA,AF.FB,NA,NA,NA,NA,Fāryāb,Faryab,فاریاب,AF-FYB,iso3166-2,NA,NA,NA,0.5462339830029359,0.5134415055393738,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.9_1,AFG.9_1,Ghazni,Gazni,Ghazni,Velayat,Province,NA,AF.GZ,NA,NA,NA,NA,Ghaznī,Ghazni,غزنى,AF-GHA,iso3166-2,NA,NA,NA,0.47669697283302237,0.46359227234345,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.10_1,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,Ghor,Velayat,Province,NA,AF.GR,NA,NA,NA,NA,Ghōr,Ghōr,غور,AF-GHO,iso3166-2,NA,NA,NA,0.5200016337655456,0.4891539542609352,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.11_1,AFG.11_1,Hilmand,Girishk|Hilmend,Hilmand,Velayat,Province,NA,AF.HM,NA,NA,NA,NA,Helmand,Helmand,هلمند,AF-HEL,iso3166-2,NA,NA,NA,0.5796502791462045,0.42202118561681373,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.12_1,AFG.12_1,Hirat,NA,Hirat,Velayat,Province,NA,AF.HR,NA,NA,NA,NA,Herāt,Herat,هرات,AF-HER,iso3166-2,NA,NA,NA,0.4988396959872338,0.4269583469432844,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.13_1,AFG.13_1,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,Jawzjan,Velayat,Province,NA,AF.JW,NA,NA,NA,NA,Jowzjān,Jowzjan,جوزجان,AF-JOW,iso3166-2,NA,NA,NA,0.4695738322215433,0.37089438554761317,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.14_1,AFG.14_1,Kabul,Cabul|Kabol|Kaboul,Kabul,Velayat,Province,NA,AF.KB,NA,NA,NA,NA,Kābul,Kabul,کابل,AF-KAB,iso3166-2,NA,NA,NA,0.5319298202867615,0.4918934491381305,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.15_1,AFG.15_1,Kandahar,Qandahar,Kandahar,Velayat,Province,NA,AF.KD,NA,NA,NA,NA,Kandahār,Kandahar,قندهار,AF-KAN,iso3166-2,NA,NA,NA,0.4792280274352811,0.47982256894844333,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.16_1,AFG.16_1,Kapisa,Kapesa,Kapisa,Velayat,Province,NA,AF.KP,NA,NA,NA,NA,Kāpīsā,Kapisa,کاپیسا,AF-KAP,iso3166-2,NA,NA,NA,0.40428481778765696,0.3302745714005895,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.17_1,AFG.17_1,Khost,NA,Khost,Velayat,Province,NA,AF.KT,NA,NA,NA,NA,Khōst,Khost,خوست,AF-KHO,iso3166-2,NA,NA,NA,0.5251895328205779,0.4531477449046147,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.18_1,AFG.18_1,Kunar,Konarha|Kunarha,Kunar,Velayat,Province,NA,AF.KR,NA,NA,NA,NA,Kunaṟ,Kunar,کنر,AF-KNR,iso3166-2,NA,NA,NA,0.5733594692519478,0.5435908729738751,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.19_1,AFG.19_1,Kunduz,Kondoz|Qonduz|Qunduz,Kunduz,Velayat,Province,NA,AF.KZ,NA,NA,NA,NA,Kunduz,Kunduz,کندز,AF-KDZ,iso3166-2,NA,NA,NA,0.4592306517366569,0.5265873288182282,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.20_1,AFG.20_1,Laghman,Lagman,Laghman,Velayat,Province,NA,AF.LA,NA,NA,NA,NA,Laghmān,Laghman,لغمان,AF-LAG,iso3166-2,NA,NA,NA,0.37206125879489693,0.2600984069880779,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.21_1,AFG.21_1,Logar,Lawghar|Loghar,Logar,Velayat,Province,NA,AF.LW,NA,NA,NA,NA,Lōgar,Logar,لوگَر,AF-LOG,iso3166-2,NA,NA,NA,0.46061976086857265,0.46705531552336654,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.22_1,AFG.22_1,Nangarhar,Ningrahar|Eastern Province,Nangarhar,Velayat,Province,NA,AF.NG,NA,NA,NA,NA,Nangarhār,Nangarhar,ننگرهار,AF-NAN,iso3166-2,NA,NA,NA,0.4614793303269642,0.3546269387802845,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.23_1,AFG.23_1,Nimroz,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,Nimroz,Velayat,Province,NA,AF.NM,NA,NA,NA,NA,Nīmrōz,Nimruz,ولایت نیمروز,AF-NIM,iso3166-2,NA,NA,NA,0.5088541190981998,0.45834041375499507,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.24_1,AFG.24_1,Nuristan,Nooristan|Nurist√£o,Nuristan,Velayat,Province,NA,AF.NR,NA,NA,NA,NA,Nūristān,Nuristan,نورستان,AF-NUR,iso3166-2,NA,NA,NA,0.491779950171252,0.44434417083178696,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.25_1,AFG.25_1,Paktika,Paktiya|Paktya|Southern Province,Paktika,Velayat,Province,NA,AF.PK,NA,NA,NA,NA,Paktīkā,Paktika,پکتیکا,AF-PKA,iso3166-2,NA,NA,NA,0.5460630800309254,0.4222254363623238,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.26_1,AFG.26_1,Paktya,Paktiya|Southern Province,Paktya,Velayat,Province,NA,AF.PT,NA,NA,NA,NA,Paktiyā,Paktia,پکتیا,AF-PIA,iso3166-2,NA,NA,NA,0.6175988639830561,0.5734253588946264,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.27_1,AFG.27_1,Panjshir,NA,Panjshir,Velayat,Province,NA,AF.PJ,NA,NA,NA,NA,Panjshayr,Panjshir,پنجشیر,AF-PAN,iso3166-2,NA,NA,NA,0.6158757661036423,0.57085146223057,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.28_1,AFG.28_1,Parwan,Charikar,Parwan,Velayat,Province,NA,AF.PV,NA,NA,NA,NA,Parwān,Parwan,پروان,AF-PAR,iso3166-2,NA,NA,NA,0.5197325255640303,0.4746979387776538,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.29_1,AFG.29_1,Samangan,NA,Samangan,Velayat,Province,NA,AF.SM,NA,NA,NA,NA,Samangān,Samangan,سمنگان,AF-SAM,iso3166-2,NA,NA,NA,0.48061757123690424,0.46667865773040634,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.30_1,AFG.30_1,Sari Pul,Sar-e Pul|Saripol,Sari Pul,Velayat,Province,NA,AF.SP,NA,NA,NA,NA,Sar-e Pul,Sar-e Pol,سرپل,AF-SAR,iso3166-2,NA,NA,NA,0.514004872671314,0.46707394482757275,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.31_1,AFG.31_1,Takhar,Takar,Takhar,Velayat,Province,NA,AF.TK,NA,NA,NA,NA,Takhār,Takhar,تخار,AF-TAK,iso3166-2,NA,NA,NA,0.4886541993656259,0.4916874948555202,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.32_1,AFG.32_1,Uruzgan,Urozgan,Uruzgan,Velayat,Province,NA,AF.OZ,NA,NA,NA,NA,Uruzgān,Urozgan,اروزگان,AF-URU,iso3166-2,NA,NA,NA,NA,NA,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.33_1,AFG.33_1,Wardak,Verdak|Wardag|Maiden,Wardak,Velayat,Province,NA,AF.VR,NA,NA,NA,NA,Wardak,Maidan Wardak,ميدان وردگ,AF-WAR,iso3166-2,NA,NA,NA,0.45649549037598014,0.404898903177873,0.4650514524137893,0.4046391055667781
AF,AFG,Afghanistan,AFG.34_1,AFG.34_1,Zabul,Zubul|Zaboul,Zabul,Velayat,Province,NA,AF.ZB,NA,NA,NA,NA,Zābul,Zabul,زابل,AF-ZAB,iso3166-2,NA,NA,NA,0.506487121995756,0.4817012652840549,0.4650514524137893,0.4046391055667781
AG,ATG,Antigua and Barbuda,ATG.1_1,ATG.1_1,Barbuda,Codrington,Barbuda,Dependency,Dependency,NA,AG.BB,nat,Antigua and Barbuda,NA,NA,Barbuda,NA,Barbuda,AG-10,iso3166-2,NA,NA,NA,NA,NA,NA,NA
AG,ATG,Antigua and Barbuda,ATG.2_1,ATG.2_1,Redonda,NA,Redonda,Dependency,Dependency,NA,AG.RD,nat,Antigua and Barbuda,NA,NA,Redonda,NA,Redonda,AG-11,iso3166-2,NA,NA,NA,NA,NA,NA,NA
AG,ATG,Antigua and Barbuda,ATG.3_1,ATG.3_1,Saint George,Parham,Saint George,Parish,Parish,NA,AG.GE,nat,Antigua and Barbuda,NA,NA,Saint George,NA,Saint George,AG-03,iso3166-2,NA,NA,NA,NA,NA,NA,NA
AG,ATG,Antigua and Barbuda,ATG.4_1,ATG.4_1,Saint John,Saint John's,Saint John,Parish,Parish,NA,AG.JO,nat,Antigua and Barbuda,NA,NA,Saint John,NA,Saint John,AG-04,iso3166-2,NA,NA,NA,NA,NA,NA,NA
AG,ATG,Antigua and Barbuda,ATG.5_1,ATG.5_1,Saint Mary,Bolands,Saint Mary,Parish,Parish,NA,AG.MA,nat,Antigua and Barbuda,NA,NA,Saint Mary,NA,Saint Mary,AG-05,iso3166-2,NA,NA,NA,NA,NA,NA,NA
AG,ATG,Antigua and Barbuda,ATG.6_1,ATG.6_1,Saint Paul,Nelson's Dockyard,Saint Paul,Parish,Parish,NA,AG.PA,nat,Antigua and Barbuda,NA,NA,Saint Paul,NA,Saint Paul,AG-06,iso3166-2,NA,NA,NA,NA,NA,NA,NA
AG,ATG,Antigua and Barbuda,ATG.7_1,ATG.7_1,Saint Peter,Parham,Saint Peter,Parish,Parish,NA,AG.PE,nat,Antigua and Barbuda,NA,NA,Saint Peter,NA,Saint Peter,AG-07,iso3166-2,NA,NA,NA,NA,NA,NA,NA
AG,ATG,Antigua and Barbuda,ATG.8_1,ATG.8_1,Saint Philip,Carlisle,Saint Philip,Parish,Parish,NA,AG.PH,nat,Antigua and Barbuda,NA,NA,Saint Philip,NA,Saint Philip,AG-08,iso3166-2,NA,NA,NA,NA,NA,NA,NA
AL,ALB,Albania,NA,AL02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central Albania,NA,Shqipëria qendrore,AL02,nuts2,NA,NA,NA,0.5276277231909763,0.6327088091086314,0.46888086884376684,0.5563906683060227
AL,ALB,Albania,NA,AL01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northern Albania,NA,Shqipëria veriore,AL01,nuts2,NA,NA,NA,0.497298568281845,0.480643118781483,0.46888086884376684,0.5563906683060227
AL,ALB,Albania,NA,AL03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southern Albania,NA,Shqipëria jugore,AL03,nuts2,NA,NA,NA,0.5344390538264949,0.6342664049493087,0.46888086884376684,0.5563906683060227
AM,ARM,Armenia,ARM.1_1,ARM.1_1,Aragatsotn,Aragacot'n,Aragatsotn,Marz,Province,NA,AM.AG,NA,NA,NA,NA,Aragac̣otn,Aragatsotn,Արագածոտն,AM-AG,iso3166-2,NA,NA,NA,0.5188148045634279,0.44620317304316387,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.2_1,ARM.2_1,Ararat,NA,Ararat,Marz,Province,NA,AM.AR,NA,NA,NA,NA,Ararat,Ararat,Արարատ,AM-AR,iso3166-2,NA,NA,NA,0.4998699505285967,0.40221711997480386,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.3_1,ARM.3_1,Armavir,NA,Armavir,Marz,Province,NA,AM.AV,NA,NA,NA,NA,Armavir,Armavir,Արմավիր,AM-AV,iso3166-2,NA,NA,NA,0.5591060601797936,0.560208466226045,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.4_1,ARM.4_1,Erevan,Yerevan,Erevan,Kaghak,City,NA,AM.ER,NA,NA,NA,NA,Erevan,Yerevan,Երևան,AM-ER,iso3166-2,NA,NA,NA,0.4944783863450968,0.43102898634550135,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.5_1,ARM.5_1,Gegharkunik,Gelark'unik',Gegharkunik,Marz,Province,NA,AM.GR,NA,NA,NA,NA,Geġark'unik',Gegharkunik,Գեղարքունիք,AM-GR,iso3166-2,NA,NA,NA,0.4537911462498236,0.3730313475221922,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.6_1,ARM.6_1,Kotayk,Kotaik|Kotayk',Kotayk,Marz,Province,NA,AM.KT,NA,NA,NA,NA,Kotayk',Kotayk,Կոտայք,AM-KT,iso3166-2,NA,NA,NA,0.5033360180186649,0.4404539547507505,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.7_1,ARM.7_1,Lori,Lo·πôi,Lori,Marz,Province,NA,AM.LO,NA,NA,NA,NA,Loṙi,Lori,Լոռի,AM-LO,iso3166-2,NA,NA,NA,0.5014348486014072,0.5624876022533778,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.8_1,ARM.8_1,Shirak,≈†irak,Shirak,Marz,Province,NA,AM.SH,NA,NA,NA,NA,Širak,Shirak,Շիրակ,AM-SH,iso3166-2,NA,NA,NA,0.5012242091009184,0.5140677612316623,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.9_1,ARM.9_1,Syunik,Syunik',Syunik,Marz,Province,NA,AM.SU,NA,NA,NA,NA,Syunik',Syunik,Սյունիք,AM-SU,iso3166-2,NA,NA,NA,0.5139049013018185,0.48721099536067275,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.10_1,ARM.10_1,Tavush,Tavu≈°,Tavush,Marz,Province,NA,AM.TV,NA,NA,NA,NA,Tavuš,Tavush,Տավուշ,AM-TV,iso3166-2,NA,NA,NA,0.4778659798733223,0.5371650777119008,0.4449388597817451,0.39512671270517397
AM,ARM,Armenia,ARM.11_1,ARM.11_1,Vayots Dzor,Vayoc'Jor,Vayots Dzor,Marz,Province,NA,AM.VD,NA,NA,NA,NA,Vayoć Jor,Vayots Dzor,Վայոց Ձոր,AM-VD,iso3166-2,NA,NA,NA,0.5019090263183984,0.46656615284426267,0.4449388597817451,0.39512671270517397
AR,ARG,Argentina,ARG.1_1,ARG.1_1,Buenos Aires,Baires|Buenos Ayres,Buenos Aires,Provincia,Province,NA,AR.BA,NA,NA,NA,NA,Buenos Aires,NA,Buenos Aires,AR-B,iso3166-2,NA,NA,NA,0.5667359678650102,0.6520923814780537,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.2_1,ARG.2_1,Catamarca,NA,Catamarca,Provincia,Province,NA,AR.CT,NA,NA,NA,NA,Catamarca,NA,Catamarca,AR-K,iso3166-2,NA,NA,NA,0.554555819411358,0.6764322125819843,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.3_1,ARG.3_1,Chaco,El Chaco|Presidente Juan Peron,Chaco,Provincia,Province,NA,AR.CC,NA,NA,NA,NA,Chaco,NA,Chaco,AR-H,iso3166-2,NA,NA,NA,0.5375591584386116,0.6429435001080861,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.4_1,ARG.4_1,Chubut,NA,Chubut,Provincia,Province,NA,AR.CH,A,"Chubut, Santa Cruz, and Tierra del Fuego",NA,NA,Chubut,NA,Chubut,AR-U,iso3166-2,NA,NA,NA,NA,NA,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.5_1,ARG.5_1,Ciudad de Buenos Aires,BUENOS AIRES D.F.|Capital Federal|Distretto Federale|Distrito Federal|Federal Capital,Ciudad de Buenos Aires,Distrito Federal,Federal District,NA,AR.DF,NA,NA,NA,NA,Ciudad Autónoma de Buenos Aires,NA,Ciudad Autónoma de Buenos Aires,AR-C,iso3166-2,NA,NA,NA,NA,NA,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.6_1,ARG.6_1,C√≥rdoba,Cordova,C√≥rdoba,Provincia,Province,NA,AR.CB,NA,NA,NA,NA,Córdoba,NA,Córdoba,AR-X,iso3166-2,NA,NA,NA,0.5646385347362273,0.669946211656654,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.7_1,ARG.7_1,Corrientes,NA,Corrientes,Provincia,Province,NA,AR.CN,NA,NA,NA,NA,Corrientes,NA,Corrientes,AR-W,iso3166-2,NA,NA,NA,0.5874184152396822,0.6184249808559991,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.8_1,ARG.8_1,Entre R√≠os,Entre-Rios,Entre R√≠os,Provincia,Province,NA,AR.ER,NA,NA,NA,NA,Entre Ríos,NA,Entre Ríos,AR-E,iso3166-2,NA,NA,NA,0.5831104425280792,0.6168308041159282,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.9_1,ARG.9_1,Formosa,NA,Formosa,Provincia,Province,NA,AR.FM,NA,NA,NA,NA,Formosa,NA,Formosa,AR-P,iso3166-2,NA,NA,NA,0.5415733850381151,0.6724256199351246,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.10_1,ARG.10_1,Jujuy,NA,Jujuy,Provincia,Province,NA,AR.JY,NA,NA,NA,NA,Jujuy,NA,Jujuy,AR-Y,iso3166-2,NA,NA,NA,0.6302293560004136,0.6828225588512421,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.11_1,ARG.11_1,La Pampa,El Pampa|Eva Per√≥n,La Pampa,Provincia,Province,NA,AR.LP,NA,NA,NA,NA,La Pampa,NA,La Pampa,AR-L,iso3166-2,NA,NA,NA,0.516741785897911,0.7239209026333585,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.12_1,ARG.12_1,La Rioja,NA,La Rioja,Provincia,Province,NA,AR.LR,NA,NA,NA,NA,La Rioja,NA,La Rioja,AR-F,iso3166-2,NA,NA,NA,0.6418799180605388,0.6437671040319094,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.13_1,ARG.13_1,Mendoza,NA,Mendoza,Provincia,Province,NA,AR.MZ,NA,NA,NA,NA,Mendoza,NA,Mendoza,AR-M,iso3166-2,NA,NA,NA,0.5491231605305773,0.6901321070641747,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.14_1,ARG.14_1,Misiones,Miss√µes,Misiones,Provincia,Province,NA,AR.MN,NA,NA,NA,NA,Misiones,NA,Misiones,AR-N,iso3166-2,NA,NA,NA,0.5767923897807764,0.7004418963419408,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.15_1,ARG.15_1,Neuqu√©n,Neuqu√©n,Neuqu√©n,Provincia,Province,NA,AR.NQ,NA,NA,NA,NA,Neuquén,NA,Neuquén,AR-Q,iso3166-2,NA,NA,NA,0.538514235725067,0.6759683985288093,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.16_1,ARG.16_1,R√≠o Negro,NA,R√≠o Negro,Provincia,Province,NA,AR.RN,NA,NA,NA,NA,Río Negro,NA,Río Negro,AR-R,iso3166-2,NA,NA,NA,0.5169064635520152,0.7357526552912761,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.17_1,ARG.17_1,Salta,NA,Salta,Provincia,Province,NA,AR.SA,NA,NA,NA,NA,Salta,NA,Salta,AR-A,iso3166-2,NA,NA,NA,0.5593550510431755,0.6339845426411682,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.18_1,ARG.18_1,San Juan,NA,San Juan,Provincia,Province,NA,AR.SJ,NA,NA,NA,NA,San Juan,NA,San Juan,AR-J,iso3166-2,NA,NA,NA,0.5577274401992748,0.5954100112416706,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.19_1,ARG.19_1,San Luis,NA,San Luis,Provincia,Province,NA,AR.SL,NA,NA,NA,NA,San Luis,NA,San Luis,AR-D,iso3166-2,NA,NA,NA,0.530644151645787,0.7043800794046068,0.522695391830914,0.6378983388395262
AR,ARG,Argentina,ARG.20_1,ARG.20_1,Santa Cruz,NA,Santa Cruz,Provincia,Province,NA,AR.SC,A,"Chubut, Santa Cruz, and Tierra del Fuego",NA,NA,Santa Cruz,NA,Santa Cruz,AR-Z,iso3166-2,NA,NA,NA,NA,NA,0.522695391830914,0.6378983388395262
